Bank / App,Total Loan Amount,Interest Rate (%),Tenure (Months),EMI,Start Date
RBL,77474,30,24,4331,2024-12-03
SBI,70900,17,36,2305,2023-12-03
Axis,30735,17,24,1579,2025-03-03
MoneyView,150000,10,22,7782,2025-06-03
SBI,159800,17,36,5327,2024-04-01 
FIBE,200000,30,18,13506,2026-01-03
INCRED,413000,20,48,12608,2024-07-03
RBL,50000,21,48,1548,2024-02-03
Axis,204000,17,48,6651,2025-01-03
HDFC,490000,15,48,13607,2024-11-03
Axis,51500,17,24,1512,2025-08-03
Federal,300000,16,48,8579,2025-06-03
ICICI,2500000,11.15,72,48207,2024-07-03
